event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,53601279.38054168,20052187.144154776,0.374099,0.0340223209897879,0.04796511626231787,0.017943703933908223,20.83436477161224,17.797083494796127,16.813848790264068
1,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,52506637.39685169,28189820.023771886,0.5368811,0.03332751927295576,0.04698557565022634,0.025225666448269214,20.83436477161224,17.776450146177382,17.154471478670196
2,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,19347575.61586485,3546175.341234888,0.1832878,0.012280479786758685,0.017313182157846576,0.0031732957588815154,20.83436477161224,16.778077678420697,15.081380212006568
3,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,37538395.16201331,6858066.099235907,0.1826947,0.023826732204961995,0.03359124090050037,0.006136941908590444,20.83436477161224,17.440874838129265,15.740936050225674
4,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,23815817.49855271,15811821.953515967,0.663921,0.015116605367149342,0.0213115893576024,0.01414921224053438,20.83436477161224,16.98586051867193,16.576268443122565
5,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,66203138.70422202,23154852.660848983,0.3497546,0.042021094674545255,0.05924189276032678,0.02072012483190169,20.83436477161224,18.008238432233785,16.957714934708918
6,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.020573765486618382,0.0005707403989686061,48389024.8813469,13823186.05665112,0.2856678,0.030713948546042712,0.04775827107589524,0.012417168002224224,20.83436477161224,17.792761760805757,16.44568952399053
7,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.013025463369027622,0.004275731139436915,1211411.5806363453,181658.29010869307,0.1499559,0.0007689188415550755,0.003906021068707813,0.0005183083989442362,20.83436477161224,15.289128719004456,13.26942464350538
8,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,37841773.79619857,16477133.24951559,0.4354218,0.02401929561749579,0.033862719335872975,0.014744566195366283,20.83436477161224,17.44892417727019,16.617484114007876
10,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,45358578.34786231,11595030.901020499,0.2556304,0.0287904342960819,0.040589133488826125,0.010375815869695687,20.83436477161224,17.63010987535519,16.266087193698016
